food;ingredients;category;kitchen;food_url
Шведская закуска к хлебу;репчатый лук, зеленые яблоки, куриное яйцо;Закуски;Шведская кухня;https://eda.ru/recepty/zakuski/shvedskaja-zakuska-k-hlebu-28415
Закуска с семгой и ветчиной;армянский лаваш, слабосоленая семга, ветчина, зелень, плавленый сыр;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-s-semgoj-vetchinoj-20641
Фруктовая закуска с творожным сыром;яблоко, нектарины, груши, сливы, сливочное масло, сахар, сыр «альметте» сливочный, свежая мята, мед, темный шоколад, белый шоколад, семечки подсолнуха, миндальные лепестки, сладкая паприка, сахарная пудра, клубника;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/fruktovaya-zakuska-s-tvorozhnym-syrom-81279
Закуска бакат;баклажаны, помидоры, сладкий перец, морковь, чеснок, уксус 6%, растительное масло, сахар, соль, петрушка, перец чили;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-bakat-52759
Фруктовая закуска с творожным сыром;яблоко, нектарины, груши, сливы, сливочное масло, сахар, сыр «альметте» сливочный, свежая мята, мед, темный шоколад, белый шоколад, семечки подсолнуха, миндальные лепестки, сладкая паприка, сахарная пудра, клубника;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/fruktovaya-zakuska-s-tvorozhnym-syrom-81279
Закуска бакат;баклажаны, помидоры, сладкий перец, морковь, чеснок, уксус 6%, растительное масло, сахар, соль, петрушка, перец чили;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-bakat-52759
Нежная закуска «Гебжалия»;имеретинский сыр, свежая мята, соль, чеснок, перец чили, молоко, мацони, сметана, молотый черный перец;Закуски;Грузинская кухня;https://eda.ru/recepty/zakuski/nezhnaya-zakuska-gebzhaliya-93372
Простая закуска с фетой;обезжиренный сыр фета, чеснок, зелень, крекеры;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/prostaya-zakuska-s-fetoy-81043
Острая английская закуска;морковь, репа, чеснок, лук, цукини, яблоко, корнишоны, сушеные финики, перец чили, тростниковый сахар, соль, лимон, яблочный уксус, душистый перец горошком, семена горчицы;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/ostraja-anglijskaja-zakuska-47122
Острая закуска из кабачков;кабачки, пшеничная мука, йогурт, растительное масло, чеснок, укроп, соль;Закуски;Болгарская кухня;https://eda.ru/recepty/zakuski/ostraja-zakuska-iz-kabachkov-18362
Закуска из фаршированных баклажанов;баклажаны, оливковое масло, помидоры, репчатый лук, чеснок, паста из вяленых помидоров, каперсы, панировочные сухари, сыр моцарелла, листья базилика, тертый сыр пармезан , соль, растительное масло, молотый черный перец;Закуски;Греческая кухня;https://eda.ru/recepty/zakuski/zakuska-iz-farshirovannih-baklazhanov-19141
Закуска из кабачка с творожным сыром;молодые кабачки, огурцы, листья мяты, чеснок, сыр «альметте» с зеленью, кумин (зира), соль, свежемолотый черный перец;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-kabachka-s-tvorozhnym-syrom-81273
Тарталетки с ветчинно-сырной закуской;тарталетки, вареная ветчина, куриное яйцо, сливочный сыр, маслины без косточек, зелень;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/tartaletki-s-vetchinno-sirnoj-zakuskoj-48029
Закуска из сала;свиное соленое сало, чеснок, молотый черный перец, зелень, сладкий перец;Закуски;Холодные закуски;https://eda.ru/recepty/zakuski/zakuska-iz-sala-137497
Маринованная капуста на закуску;морковь, чеснок, красный стручковый перец, вода, соль, сахар, растительное масло, уксус, белокочанная капуста;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/marinovannaja-kapusta-na-zakusku-44462
Картофельная закуска с мидиями;картофель, креветки, мидии, сливки 30%-ные, белое сухое вино, твердый сыр, чеснок, укроп, соль, молотая паприка, оливковое масло;Закуски;Французская кухня;https://eda.ru/recepty/zakuski/kartofelnaya-zakuska-s-midiyami-81349
Закуска «Коралловые рифы»;плавленый сырок, чеснок, маслины, очищенные грецкие орехи, крабовые палочки, зеленый салат;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-korallovye-rify--52965
Закуска из баклажанов;баклажаны, вода, петрушка, морковь, чеснок, яблочный уксус, растительное масло;Закуски;Грузинская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhanov-56407
Ближневосточная закуска «мутабаль»;баклажаны, мацони, кунжутные семечки, оливковое масло, зерна граната, молотый душистый перец, молотый красный перец, соль;Закуски;Арабская кухня;https://eda.ru/recepty/zakuski/blizhnevostochnaya-zakuska-mutabal--104299
Летняя баклажанная закуска;баклажаны, помидоры, петрушка, свежемолотый черный перец, асафетида, соль;Закуски;Арабская кухня;https://eda.ru/recepty/zakuski/letnyaya-baklazhannaya-zakuska-92506
Острая английская закуска;морковь, репа, чеснок, лук, цукини, яблоко, корнишоны, сушеные финики, перец чили, тростниковый сахар, соль, лимон, яблочный уксус, душистый перец горошком, семена горчицы;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/ostraja-anglijskaja-zakuska-47122
Закуска из сала;свиное соленое сало, чеснок, молотый черный перец, зелень, сладкий перец;Закуски;Холодные закуски;https://eda.ru/recepty/zakuski/zakuska-iz-sala-137497
Острая закуска из кабачков;кабачки, пшеничная мука, йогурт, растительное масло, чеснок, укроп, соль;Закуски;Болгарская кухня;https://eda.ru/recepty/zakuski/ostraja-zakuska-iz-kabachkov-18362
Сырная закуска с паприкой;домашний сыр, паприка, кинза, лимонный сок, перец чили;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/syrnaya-zakuska-s-paprikoy-54757
Маринованная капуста на закуску;морковь, чеснок, красный стручковый перец, вода, соль, сахар, растительное масло, уксус, белокочанная капуста;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/marinovannaja-kapusta-na-zakusku-44462
Картофельная закуска с мидиями;картофель, креветки, мидии, сливки 30%-ные, белое сухое вино, твердый сыр, чеснок, укроп, соль, молотая паприка, оливковое масло;Закуски;Французская кухня;https://eda.ru/recepty/zakuski/kartofelnaya-zakuska-s-midiyami-81349
Закуска «Коралловые рифы»;плавленый сырок, чеснок, маслины, очищенные грецкие орехи, крабовые палочки, зеленый салат;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-korallovye-rify--52965
Закуска из фаршированных баклажанов;баклажаны, оливковое масло, помидоры, репчатый лук, чеснок, паста из вяленых помидоров, каперсы, панировочные сухари, сыр моцарелла, листья базилика, тертый сыр пармезан , соль, растительное масло, молотый черный перец;Закуски;Греческая кухня;https://eda.ru/recepty/zakuski/zakuska-iz-farshirovannih-baklazhanov-19141
Тарталетки с ветчинно-сырной закуской;тарталетки, вареная ветчина, куриное яйцо, сливочный сыр, маслины без косточек, зелень;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/tartaletki-s-vetchinno-sirnoj-zakuskoj-48029
Закуска из баклажанов;баклажаны, вода, петрушка, морковь, чеснок, яблочный уксус, растительное масло;Закуски;Грузинская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhanov-56407
Закуска из сельди;слабосоленая сельдь, красный лук, укроп, подсолнечное масло;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-seldi-124937
Закуска из канапе капрезе;помидоры черри, сыр мини моцарелла , песто;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-kanape-kapreze-150978
Лимонная закуска с майонезом и сыром;лимон, сахар, майонез, грецкие орехи, твердый сыр;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/limonnaja-zakuska-s-majonezom-i-sirom-47585
Закуска из баклажанов;баклажаны, вода, петрушка, морковь, чеснок, яблочный уксус, растительное масло;Закуски;Грузинская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhanov-56407
Закуска из сельди;слабосоленая сельдь, красный лук, укроп, подсолнечное масло;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-seldi-124937
Закуска из филе минтая;филе минтая, черный перец горошком, душистый перец горошком, подсолнечное масло, укроп, бальзамический уксус, майонез, маринованные огурцы, соль;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-file-mintaja-50765
Закуска из спаржи с лососем;зеленая мини спаржа , филе лосося, соль, молотый черный перец, лимон, оливковое масло;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-sparzhi-s-lososem-38768
Закуска из баклажана капрезе;баклажаны, сыр моцарелла, сыр хаварти, желтые помидоры, помидоры черри, смесь итальянских специй, соль, молотый черный перец;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhana-kapreze-140883
Горячая сырно-луковая закуска;сыр рикотта, майонез, тертый сыр пармезан , сладкий лук, свежемолотый черный перец;Закуски;Горячие закуски;https://eda.ru/recepty/zakuski/gorjachaja-sirno-lukovaja-zakuska-25791
Кабачково-помидорная закуска с сыром;морковь, сыр, чеснок, майонез, кабачки, помидоры;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/kabachkovo-pomidornaja-zakuska-s-sirom-43491
Чесночная закуска из кабачков;кабачки, майонез, чеснок, соевый соус, козий сыр, помидоры черри, крупная морская соль, смесь молотых перцев ;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/chesnochnaya-zakuska-iz-kabachkov-140896
Закуска с творогом и копченой рыбой;мягкий творог, скумбрия горячего копчения, зелень, зеленый лук, соль, сметана, бородинский хлеб;Закуски;Мексиканская кухня;https://eda.ru/recepty/zakuski/zakuska-s-tvorogom-i-kopchenoj-riboj-53183
Закуска от шеф-повара FABBRI;сыр филадельфия, слабосоленая семга, клубничный джем, ржаные хлебцы, красная икра;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-ot-shef-povara-fabbri-39576
Закуска из огурцов с брынзой;огурцы, сербская брынза, рукола, оливковое масло, бальзамический крем;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-ogurcov-s-brynzoy-151137
Подливка-закуска с адыгейским сыром;помидоры, сметана, адыгейский сыр, базилик, куркума, молотый черный перец, соль;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/podlivka-zakuska-s-adigejskim-sirom-49416
Закуска из адыгейского сыра;адыгейский сыр, зеленая острая аджика , молотый шафран, морская соль, молотый черный перец, оливковое масло, зелень;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-adygeyskogo-syra-174010
Чесночная закуска из кабачков;кабачки, майонез, чеснок, соевый соус, козий сыр, помидоры черри, крупная морская соль, смесь молотых перцев ;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/chesnochnaya-zakuska-iz-kabachkov-140896
Закуска из свиного окорока;свиной окорок, сало, имбирь, чеснок, сумах, сушеный зеленый лук, молотый черный перец, молотый перец чили, морская соль;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-svinogo-okoroka-173587
Закуска из запеченных овощей;баклажаны, помидоры, лук, сладкий перец, петрушка, чеснок, оливковое масло, бальзамический уксус, соль;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-zapechennyh-ovoschey-174257
Закуска из сыра халуми;сыр халуми, оливковое масло, майонез, томатная паста , порошок чили, смесь молотых перцев , крупная морская соль, сухая аджика;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-syra-halumi-174656
Закуска из огурцов с брынзой;огурцы, сербская брынза, рукола, оливковое масло, бальзамический крем;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-ogurcov-s-brynzoy-151137
Закуска из обжаренного адыгейского сыра;адыгейский сыр, вяленые помидоры, имбирь, чеснок, кресс-салат, горчичное масло, соль;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-obzharennogo-adygeyskogo-syra-173709
Закуска из баклажанов по-болгарски;баклажаны, уксус, растительное масло, соль, рубленая петрушка, чеснок;Закуски;Болгарская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhanov-po-bolgarski-21069
Закуска из помидоров с сыром и чесноком;помидоры, чеснок, сыр, майонез, зелень;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-pomidorov-s-sirom-i-chesnokom-40884
Закуска из адыгейского сыра;адыгейский сыр, зеленая острая аджика , молотый шафран, морская соль, молотый черный перец, оливковое масло, зелень;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-adygeyskogo-syra-174010
Закуска из жареных баклажанов;баклажаны, помидоры, растительное масло, соль, майонез, твердый сыр, чеснок, укроп;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-zharenyh-baklazhanov-174275
Сырная закуска на чипсах;сыр, помидоры, зелень, чеснок, майонез, картофельные чипсы, оливки;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/sirnaja-zakuska-na-chipsah-34069
Баклажанная закуска по-креольски;оливковое масло, репчатый лук, чеснок, зеленый сладкий перец, красный сладкий перец, баклажаны, сладкая паприка, острая паприка, молотый кумин (зира) , коричневый сахар, соль, консервированные черри, свежемолотый черный перец, рубленая петрушка, лайм;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/baklazhannaja-zakuska-po-kreolski-26212
Итальянская закуска с перцем халапеньо;листья айсберга, сыр моцарелла, лук-порей, консервированный перец халапеньо, песто, помидоры черри конфи, оливковое масло, крупная морская соль, свежемолотый черный перец, домашний майонез;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/italyanskaya-zakuska-s-percem-halapeno-175183
Хрустящая закуска из семечек;кунжутные семечки, черные кунжутные семечки , мак, семена горчицы, крупная соль, кайенский перец, вода, кукурузный крахмал, тесто вонтон, растительное масло;Закуски;Горячие закуски;https://eda.ru/recepty/zakuski/hrustjaschaja-zakuska-iz-semechek-20512
Закуска из жареных баклажанов;баклажаны, помидоры, растительное масло, соль, майонез, твердый сыр, чеснок, укроп;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-zharenyh-baklazhanov-174275
Сырная закуска на чипсах;сыр, помидоры, зелень, чеснок, майонез, картофельные чипсы, оливки;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/sirnaja-zakuska-na-chipsah-34069
Баклажанная закуска по-креольски;оливковое масло, репчатый лук, чеснок, зеленый сладкий перец, красный сладкий перец, баклажаны, сладкая паприка, острая паприка, молотый кумин (зира) , коричневый сахар, соль, консервированные черри, свежемолотый черный перец, рубленая петрушка, лайм;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/baklazhannaja-zakuska-po-kreolski-26212
Закуска из печени, яблок и лука;говяжья печень, пшеничная мука, репчатый лук, яблоко, соль, растительное масло, молотый черный перец;Закуски;Горячие закуски;https://eda.ru/recepty/zakuski/zakuska-iz-pecheni-jablok-luka-24602
Итальянская закуска с перцем халапеньо;листья айсберга, сыр моцарелла, лук-порей, консервированный перец халапеньо, песто, помидоры черри конфи, оливковое масло, крупная морская соль, свежемолотый черный перец, домашний майонез;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/italyanskaya-zakuska-s-percem-halapeno-175183
Мексиканская закуска из фасоли и авокадо;консервированная смесь из трех видов фасоли , авокадо, сметана, смесь специй тако, помидоры, зеленый лук, сыр чеддер;Закуски;Мексиканская кухня;https://eda.ru/recepty/zakuski/meksikanskaja-zakuska-iz-fasoli-avokado-24258
Пикантная закуска из фетаксы;сливочное масло, сыр фетакса, измельченный укроп, базилик, чеснок, грецкие орехи, оливки;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/pikantnaja-zakuska-iz-fetaksi-49364
Закуска с хурмой и пармской ветчиной;хурма, свежая мята, рукола, мед, бальзамический соус, пармская ветчина;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-s-hurmoj-i-parmskoj-vetchinoj-53166
Закуска из баклажана по-грузински;баклажаны, красный лук, горчичное масло, помидоры черри, сыр сулугуни, сушеный орегано, сушеный базилик, молотый перец чили, морская соль, зелень;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhana-po-gruzinski-174013
Острая закуска из красной фасоли;репчатый лук, говяжий фарш, чеснок, говяжий бульон, молотый перец чили, молотый кумин (зира) , какао-порошок, крупная соль, красная консервированная фасоль, помидоры в собственном соку, яблочный уксус;Закуски;Мексиканская кухня;https://eda.ru/recepty/zakuski/ostraja-zakuska-iz-krasnoj-fasoli-21254
Пряная закуска из арбузных корок;вода, корки арбуза, сахар, яблочный уксус, сухая горчица, куркума, молотый имбирь, соль, семена сельдерея;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/prjanaja-zakuska-iz-arbuznih-korok-23545
Закуска на кольцах ананаса;консервированный ананас кольцами, сыр, майонез, куриное яйцо, крабовые палочки, зеленый салат;Закуски;Американская кухня;https://eda.ru/recepty/zakuski/zakuska-na-kolcah-ananasa-45802
Закуска из селедки с творогом;филе сельди, творог, сметана, укроп, ржаные тосты;Закуски;Литовская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-seledki-s-tvorogom-136778
Блинная закуска с мясом и сыром;пшеничная мука, куриное яйцо, молоко, соль, сахар, зеленый салат, говядина, репчатый лук, чеснок, сыр, очищенные грецкие орехи, майонез;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/blinnaya-zakuska-s-myasom-i-syrom-114455
Овощная закуска с ветчиной и яйцами «Мухомор»;ветчина, сыр, помидоры черри, майонез, зелень, куриное яйцо, огурцы;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/ovoshhnaja-zakuska-s-vetchinoj-i-jajcami-muhomor-40672
Закуска из говяжьих костей;говяжьи кости, ржаной хлеб, соль, молотый черный перец, оливковое масло, чеснок, перья репчатого лука, петрушка, укроп, водка;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-govyazhih-kostey-81048
Закуска из моркови и зеленого горошка;сливочное масло, морковь, крупная соль, свежемолотый черный перец, замороженный зеленый горошек ;Закуски;Французская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-morkovi-zelenogo-goroshka-29007
Закуска из ананаса с яйцами и карри;куриное яйцо, ананас, красный лук, натуральный йогурт, карри, оливковое масло, морская соль, орехи;Закуски;Низкокалорийная еда;https://eda.ru/recepty/zakuski/zakuska-iz-ananasa-s-jajcami-karri-19736
Три вида сырных закусок с крекерами;сливочное масло, сливочный сыр, лимонный сок, вустерширский соус, молотый красный перец, морская соль, молотый белый перец, сушеная клюква, сыр чеддер, лук-шалот, сыр фета, измельченные орехи пекан, козий сыр, зеленый лук, петрушка, крекеры;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/tri-vida-sirnih-zakusok-s-krekerami-35149
Холодная закуска из куриной грудки;куриная грудка, соевый соус, чеснок, лавровый лист, хмели-сунели, соль, свежемолотый черный перец;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/holodnaya-zakuska-iz-kurinoy-grudki-80347
Летняя овощная закуска с цукини и баклажанами;баклажаны, цукини, оливковое масло, кайенский перец, чеснок, крупная соль, сливовидные помидоры, красный сладкий перец, перец чили;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/letnjaja-ovoschnaja-zakuska-s-cukini-baklazhanami-24391
Греческая картофельно-чесночная закуска (Skordalia);картофель, чеснок, белый винный уксус, оливковое масло extra virgin, соль, смесь перцев;Закуски;Греческая кухня;https://eda.ru/recepty/zakuski/grecheskaja-kartofelno-chesnochnaja-zakuska-skordalia-43975
Закуска из авокадо с сельдью и свеклой;авокадо, консервированная сельдь, помидоры, куриное яйцо, красный лук, молотый черный перец, лимонный сок, укроп, свекла, майонез;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-avokado-s-seldju-svekloj-26056
Красно-желтая закуска из перцев;сливочное масло, оливковое масло, репчатый лук, красный сладкий перец, греческие маслины, желтый сладкий перец, чеснок, дижонская горчица;Закуски;Китайская кухня;https://eda.ru/recepty/zakuski/krasno-zheltaja-zakuska-iz-percev-20849
Закуска из сельди с черной смородиной;норвежская слабосоленая сельдь, сливки 35%-ные, зеленый лук, сахар, красный лук, черная смородина, лимонный сок, молотый черный перец;Закуски;Холодные закуски;https://eda.ru/recepty/zakuski/zakuska-iz-seldi-s-chernoj-smorodinoj-26671
Свекольно-селедочная клубника (Эстонская закуска);картофель, свекла, сельдь, петрушка, соль, молотый черный перец, кунжутные семечки;Закуски;Эстонская кухня;https://eda.ru/recepty/zakuski/svekolno-seledochnaja-klubnika-jestonskaja-zakuska-49562
Закуска из чеддера с перцами пименто;легкий майонез, сыр чеддер, консервированный перец пименто , лук-шалот, tabasco®;Закуски;Венгерская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-cheddera-s-percami-pimento-27898
Закуска из груши, капусты и тунца;соус «1000 островов», консервированный тунец в собственном соку, тыквенные семечки, репчатый лук, краснокочанная капуста, груши;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-grushi-kapusty-i-tunca-80692
Закуска из кабачка с печенью трески;кабачки, консервированная печень трески , куриное яйцо, твердый сыр, репчатый лук, красный лук, дижонская горчица, прованские травы, соль, молотый черный перец;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-kabachka-s-pechenu-treski-151272
Закуска из болгарского перца и курицы;курица, грецкие орехи, сладкий перец, лук, чеснок, зелень, куриное яйцо, пшеничная мука, растительное масло, яблочный уксус, лавровый лист, соль, молотый черный перец, куриный бульон;Закуски;Болгарская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-bolgarskogo-perca-i-kuricy-93446
Закуска из печени трески с корнишонами;репчатый лук, консервированная печень трески , куриное яйцо, твердый сыр, ржаной багет, петрушка, корнишоны;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-pecheni-treski-s-kornishonami-33920
Закуска из печени, яблок и лука;говяжья печень, пшеничная мука, репчатый лук, яблоко, соль, растительное масло, молотый черный перец;Закуски;Горячие закуски;https://eda.ru/recepty/zakuski/zakuska-iz-pecheni-jablok-luka-24602
Закуска из тыквы с грушами и беконом;тыква сквош, груши, оливковое масло extra virgin, крупная соль, свежемолотый черный перец, бекон, вода, коричневый сахар, молотый перец чили;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-tikvi-s-grushami-bekonom-30323
Закуска из баклажана имам-баялды;помидоры, репчатый лук, чеснок, баклажаны, зеленый лук перья, перец чили, оливковое масло, морская соль, крупная морская соль;Закуски;Турецкая кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklajana-imambayaldy-152934
Закуска с пастой, сыром и мускатным орехом;лимон, кукурузный крахмал, чеснок, куриный бульон, кирш, мускатный орех, сыр грюйер, швейцарский сыр, паста гомити (рожки), панировочные сухари, зеленый базилик , молотый черный перец;Закуски;Горячие закуски;https://eda.ru/recepty/zakuski/zakuska-s-pastoj-sirom-muskatnim-orehom-20315
Сырная закуска с помидорами и чесноком на чипсах;сыр, помидоры, зелень, чеснок, майонез, картофельные чипсы, оливки, маслины;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/sirnaja-zakuska-s-pomidorami-i-chesnokom-na-chipsah-33394
Закуска из креветок, томата и водки;очищенные креветки, стебель сельдерея, зеленый лук, кетчуп, водка, лимонный сок, хрен, вустерширский соус, tabasco®, авокадо;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-krevetok-tomata-vodki-20454
Закуска из баклажана по-грузински;баклажаны, красный лук, горчичное масло, помидоры черри, сыр сулугуни, сушеный орегано, сушеный базилик, молотый перец чили, морская соль, зелень;Закуски;Авторская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-baklazhana-po-gruzinski-174013
Острая закуска из красной фасоли;репчатый лук, говяжий фарш, чеснок, говяжий бульон, молотый перец чили, молотый кумин (зира) , какао-порошок, крупная соль, красная консервированная фасоль, помидоры в собственном соку, яблочный уксус;Закуски;Мексиканская кухня;https://eda.ru/recepty/zakuski/ostraja-zakuska-iz-krasnoj-fasoli-21254
Закуска из лаваша с мясным фаршем;армянский лаваш, фарш, репчатый лук, морковь, помидоры, зеленый салат, сыр, майонез, чеснок, зелень;Закуски;Армянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-lavasha-s-mjasnim-farshem-44013
Закуска из перепелиных яиц и семги;перепелиное яйцо, семга, огурцы, сливочный сыр, твердый сыр, красная икра, зелень;Закуски;Европейская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-perepelinih-jaic-i-semgi-39201
Закуска из маринованных баклажанов и перцев гриль;баклажаны, укроп, петрушка, чеснок, вода, соль, сладкий перец, сахар, уксус 9%-ный;Закуски;Русская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-marinovannih-baklazhanov-i-percev-gril-41863
Греческая картофельная закуска с миндалем и чесноком;картофель, хлопья миндаля, толченые сухари, чеснок, вода, лимонный сок, оливковое масло, крекеры;Закуски;Греческая кухня;https://eda.ru/recepty/zakuski/grecheskaja-kartofelnaja-zakuska-s-mindalem-chesnokom-20932
Закуска из индейки с рыбным соусом;индейка, морковь, репчатый лук, сельдерей, лавровый лист, консервированный тунец в масле, каперсы, белое сухое вино, анчоусы, винный уксус, майонез, соль, молотый черный перец;Закуски;Итальянская кухня;https://eda.ru/recepty/zakuski/zakuska-iz-indejki-s-ribnim-sousom-25011
